Id,Word,English,Pinyin,Example,Translation,Book,Lesson,Dialog,NW,PN,OofC
874,会员卡,membership card,,,,4,6,4,24,,Outside HSK
875,所有,all,suǒ yǒu,所有的土壤都需要养料。,All soil needs food.,4,6,4,25,,
876,获得,"to get, to obtain",huò dé,他希望获得假释。,He's hoping to get parole.,4,6,4,26,,
877,情况,"situation, circumstances",qíng kuàng,他现在的情况好了很多。,He is much better now.,4,6,5,27,,
878,例如,for example,lì rú,有些工作比开卡车还要危险，例如驯狮就是。,"There are jobs more dangerous than truck driving, for instance, training lions.",4,6,5,28,,
879,举办,"to hold, to conduct",jǔ bàn,纪念活动每年举办一次。,The festival is held yearly.,4,6,5,29,,
880,各,"various, different",gè,我家里人穿着各种颜色的衣服。,My family wears all kinds of clothes.,4,6,5,30,,
881,降低,"to lower, to reduce",jiàng dī,邮资必须大大降低。,The postage must be much lower.,4,6,5,31,,
882,流血,to bleed,liú xuè,,,4,7,1,1,,Outside HSK
883,擦,to wipe,cā,把鼻子擦一擦。,Give your nose a wipe.,4,7,1,2,,
884,气候,climate,qì hòu,我住的城市气候还可以。,The climate in my city is OK.,4,7,1,3,,
885,估计,"to estimate, to reckon",gū jì,总统讲话的巨大影响很难估计。,It’s difficult to assess the impact of the President’s speech.,4,7,1,4,,
886,咳嗽,to cough,ké sou,我忍住咳嗽。,I strangled an impulse to cough.,4,7,1,5,,
887,严重,"serious, grave",yán zhòng,我有点儿头疼，不严重。,I have a headache. It's not serious.,4,7,1,6,,
888,窗户,window,chuāng hu,是谁打破了窗户？,Who’s responsible for this broken window ?,4,7,1,7,,
889,空气,air,kōng qì,飞机须克服空气的阻力。,An aircraft has to overcome the resistance of the air.,4,7,1,8,,
890,抽烟,to smoke,chōu yān,我们不能在公共汽车上抽烟。,We' re not supposed to smoke in the bus.,4,7,2,9,,
891,动作,"action, movement",dòng zuò,我觉得抽烟这个动作看起来很帅。,I think the act of smoking looks very handsome.,4,7,2,10,,
892,帅,handsome,shuài,艾迪是如此的帅，他肯定会成为演员的。,Eddy is so handsome that he will be an actor.,4,7,2,11,,
893,出现,"to appear, to emerge",chū xiàn,他终于出现了。,He finally appeared.,4,7,2,12,,
894,后悔,to regret,hòu huǐ,我后悔没有好好复习。,I regret not having reviewed well.,4,7,2,13,,
895,来不及,"to have not enough time to, to be too late to",lái bu jí,我还来不及说一句话，她就急匆匆地走了。,She flung off before I could say a word.,4,7,2,14,,
896,反对,"to oppose, to object to",fǎn duì,左翼人士反对增税。,The left oppose the tax increase.,4,7,2,15,,
897,大夫,doctor,dài fu,大夫说病人要暂时留在急诊室里。,The doctor says the patient has to be stowed in the emergency room.,4,7,3,16,,
898,植物,plant,zhí wù,这是什么类别的植物？,What type of plant is this?,4,7,3,17,,
899,研究,"to study , to do research",yán jiū,他们从事音乐研究。,They engage in the study of music.,4,7,3,18,,
900,超过,"to exceed, to surpass",chāo guò,费用不会超过50美元。,The cost will not exceed $50.,4,7,3,19,,
901,散步,to take a walk,sàn bù,我突然想去散步。,I had a sudden whim to take a walk.,4,7,3,20,,
902,指,to refer to,zhǐ,我们说功率就是指做功的速率。,By power we mean the rate of doing work.,4,7,4,21,,
903,精神,"spirit, mind",jīng shén,,,4,7,4,22,,HSK 5
904,教授,professor,jiào shòu,她是一位兼职教授。,She is a part-time professor.,4,7,4,23,,
905,数字,number,shù zì,我注意到一个令人惊异的数字。,I ran across an astounding number.,4,7,4,24,,
906,说明,"to explain, to show",shuō míng,男的每天给女的送花，这说明男的喜欢女的。,"The man sends flowers to the woman every day, which shows that the man likes the woman.",4,7,4,25,,
907,要是,"if, supposing",yào shi,我要是投资，肯定能获利吗？,Can I be sure of a profit if I invest?,4,7,4,26,,
908,既,(used together with 又) both ... and ...,jì,,,4,7,5,27,,HSK 4 Character
909,减肥,to lose weight,jiǎn féi,运动与节食结合也许是减肥最有效的途径。,Combining exercise with the diet may be the most effective way to lose weight.,4,7,5,28,,
910,辛苦,"hard, toilsome",xīn kǔ,练习的过程很辛苦。,The process of practice is very hard.,4,7,5,29,,
911,肚子,"belly, stomach",dù zi,漂亮话填不饱肚子。,Fair words fill not the belly.,4,7,5,30,,
912,感情,"affection, love",gǎn qíng,那狗已把它的感情转移到新主人身上。,The dog has transferred its affection to its new master.,4,7,5,31,,
913,烦恼,"worried , vexed",fán nǎo,他感到烦恼苦闷。,He felt troubled and distressed.,4,7,5,32,,
914,掉,"result complement, we use it if after an action something disappears",diào,他吹掉书上的灰尘。,"He blew the dust off the book, ie removed the dust by blowing.",4,7,5,33,,
915,巧克力,chocolate,qiǎo kè lì,想喝一杯热巧克力牛奶吗？,What about a cup of hot chocolate?,4,8,1,1,,
916,亲戚,"relative, kinsfolk",qīn qi,她姨妈是她最近的亲戚。,Her aunt is her nearest relative.,4,8,1,2,,
917,伤心,"sad, sorrowful",shāng xīn,她伤心的时候常想家。,She often misses home when she is sad.,4,8,1,3,,
918,使,"to make, to cause",shǐ,虚心使人进步，骄傲使人落后。,"Modesty helps one to make progress, conceit makes one lag behind.",4,8,1,4,,
919,心情,"mood, state of",xīn qíng,你第一次刚到中国的时候是什么心情？,What was your mood when you first arrived in China?,4,8,1,5,,
920,愉快,"glad, cheerful",yú kuài,吃巧克力能让人的心情变得愉快。,Eating chocolates can make people happy.,4,8,1,6,,
921,景色,"scene, view",jǐng sè,月光使这景色更加美丽。,The moonlight enhanced the beauty of the scene.,4,8,2,7,,
922,放松,to relax,fàng sōng,好久都没这么放松了。,I haven't been so relaxed for a long time.,4,8,2,8,,
923,压力,"pressure, stress",yā lì,你怎样证明压力一直不变？,How do you demonstrate that the pressure remains constant?,4,8,2,9,,
924,回忆,"to call to mind, to recall",huí yì,他常常回忆以前的事。,He often recalls the past.,4,8,2,10,,
925,发生,"to happen, to take place",fā shēng,事情已经发生了，就让它过去吧。,"Things have happened, let it go.",4,8,2,11,,
926,成为,to become,chéng wéi,没有人能成为孤立的英雄。,No one can be an isolated hero.,4,8,2,12,,
927,只要,"as long as, provided",zhǐ yào,只要用户满意，产品就会成功。,"Make people happy, and your products will be a success.",4,8,2,13,,
928,师傅,(polite title for someone skilled in a trade or handicraft),shī fu,我找李师傅给你修电机,I'll have Master Li repair the motor for you.,4,8,3,14,,
929,大使馆,embassy,dà shǐ guǎn,他们去参加了莫斯科的美国大使馆的招待会。,They went to a reception at the American Embassy in Moscow.,4,8,3,15,,
930,堵车,traffic jam,dǔ chē,现在是上班时间，前面有点儿褚车。,It's office time now. It's a little busy ahead.,4,8,3,16,,
931,距离,distance,jù lí,保持安全距离。,keep a safe distance,4,8,3,17,,
932,耐心,patience,nài xīn,他耐心等待。,He waits with patience.,4,8,3,18,,
933,生命,life,shēng mìng,生命有限，知识无涯。,"Our life has a limit, but knowledge is without limit.",4,8,4,19,,
934,缺少,to lack,quē shǎo,花朵因缺少阳光而枯萎了。,The flowers withered away for lack of sunshine.,4,8,4,20,,
935,到处,everywhere,dào chù,生活中的美到处都是。,Beauty in life is everywhere.,4,8,4,21,,
936,态度,attitude,tài du,我觉得他不会改变态度。,I don't think his attitude is alterable.,4,8,4,22,,
937,因此,"therefore, so",yīn cǐ,天下雨，因此运动会延期。,It rained; therefore the track and field meet was put off.,4,8,4,23,,
938,科学,science,kē xué,科学技术是第一生产力。,Science and technology are No.1 productive forces.,4,8,5,24,,
939,证明,to prove,zhèng míng,公诉律师肯定会证明这一点。,Surely the crown lawyers must prove that.,4,8,5,25,,
940,往往,"often, usually",wǎng wǎng,鸟类的斗争往往比较和平。,"Amongst birds, the contest is often of a more peaceful character.",4,8,5,26,,
941,阳光,"sunny, optimistic, cheerful",yáng guāng,阳光照射着睡着的男孩。,A ray of sunlight fell on the sleeping boy.,4,8,5,27,,
942,积极,"positive, proactive",jī jí,学生们积极回答老师的问题。,The students answered the teacher's questions eagerly.,4,8,5,28,,
943,特点,characteristic,tè diǎn,他的特点没变。,His feature had not altered.,4,8,5,29,,
944,饼干,biscuit,bǐng gān,孩子们喜欢吃饼干。,Children like to eat the biscuit.,4,9,1,1,,
945,难道,used in a rhetorical question for emphasis,nán dào,难道你想在此地耗掉整个周末？,Do you want to stick it out for the whole weekend?,4,9,1,2,,
946,得,"must, have to",děi,生产计划要订得落实。,Production plans must be practicable.,4,9,1,3,,
947,坚持,"to insist, to persist",jiān chí,毕竟他们做不到，所以又何必要坚持呢？,"After all, they can’t do it. So why insist?",4,9,1,4,,
948,放弃,to give up,fàng qì,考试时有个题我不会，所以我放弃了那个题。,"There was a question I couldn't answer in the exam, so I gave it up.",4,9,1,5,,
949,主意,"idea, plan",zhǔ yi,事实证明，这个主意极不高明。,"As it turned out, the advice was bad.",4,9,1,6,,
950,网球,tennis,wǎng qiú,他是网球高手。,He's a whizz at tennis.,4,9,2,7,,
951,国际,international,guó jì,公斤是国际通用的重量标准。,The kilogram is the international standard of weight.,4,9,2,8,,
952,轻松,"relaxed, effortless",qīng sōng,感觉你轻松轻松就嬴了。,It feels that you won very easily.,4,9,2,9,,
953,赢,to win,yíng,他假定自己会赢，结果错了。,His assumption that he would win proved wrong.,4,9,2,10,,
954,随便,"casual, at random",suí biàn,请随便坐、随便喝、随便玩儿。,"Please sit down, drink and play.",4,9,2,11,,
955,汗,"sweat, perspiration",hàn,他额头冒着汗。,There was sweat on his forehead.,4,9,2,12,,
956,通过,"through, by means of",tōng guò,他轻松地通过了跳高预赛。,He has easily won the preliminary contest for the high jump.,4,9,2,13,,
957,篇,measure word for writings or articles,piān,我想浏览一下这篇散文。,I want to glance over one time this piece of prose.,4,9,3,14,,
958,作家,writer,zuò jiā,他的初衷就是要当作家。,"From the first, he meant to be a writer.",4,9,3,15,,
959,当时,"then, at that time",dāng shí,当时她的父母和亲戚都不支持她。,Neither her parents nor her relatives supported her at that time.,4,9,3,16,,
960,可是,"but, however",kě shì,他喜欢香蕉，可是我不喜欢。,He likes bananas but I do not like them.,4,9,3,17,,
961,正确,"right, correct",zhèng què,她向所有人证明她的选择是正确的。,She proved to everyone that her choice is right.,4,9,3,18,,
962,理想,ideal,lǐ xiǎng,我小时候的理想是当医生。,My childhood dream was to be a doctor.,4,9,3,19,,
963,勇敢,"brave, courageous",yǒng gǎn,如果你想做什么事情，那就勇敢地去做。,"If you want to do something, then go ahead and do it with courage.",4,9,4,20,,
964,结果,result,jié guǒ,这样做的结果只能导致灾难。,The result of doing so would only cause misery.,4,9,4,21,,
965,失败,to fail,shī bài,哪怕失败，我也要试一下。,I will have a try even though I should fail.,4,9,4,22,,
966,过程,"course, process",guò chéng,我们应该把注意力放在做事情的过程上。,We should focus on the process of doing things.,4,9,4,23,,
967,至少,at least,zhì shǎo,要做这项工作至少也要先取得化学学士学位。,"To do the job, you must have at least a bachelor degree in chemistry.",4,9,4,24,,
968,总结,to sum up,zǒng jié,要认真总结经验。,it is necessary to sum up experience conscientiously.,4,9,4,25,,
969,取,"to gain, to seek",qǔ,取得成功的人往往都经历过许多失败。,Successful people often experience many failures.,4,9,5,26,,
970,经历,"to go through, to experience",jīng lì,经历两个阶段。,to go through two stages,4,9,5,27,,
971,许多,"many, plenty of",xǔ duō,在试验时他经历了许多困难。,He had passed through many difficulties during the experiments.,4,9,5,28,,
972,区别,"difference , distinction",qū bié,它显然分辨不出印度曲子和爵士乐的区别！,It obviously could not tell the difference between Indian music and jazz!,4,9,5,29,,
973,暂时,"temporary, for the",zàn shí,暂时停电,a temporary shutoff of electricity,4,9,5,30,,
974,面对,"to face, to confront",miàn duì,,,4,9,5,31,,HSK 5
975,礼拜天,sunday,lǐ bài tiān,那么礼拜天怎么样？,"Well, how about Sunday?",4,10,1,1,,
976,空儿,"free time, spare time",kòng r,她的丈夫有空儿了。,when her husband was free.,4,10,1,2,,
977,母亲,mother,mǔ qīn,母亲关心自己婴儿的需求。,A mother looks after the wants of her baby.,4,10,1,3,,
978,不过,"but, yet",bù guò,不过他看出其中有猥琐的气息。,But he found something mean in it.,4,10,1,4,,
979,永远,forever,yǒng yuǎn,我们永远储蓄不了五百美元！,We can save 500 U.S.dollars forever!,4,10,1,5,,
980,方向,"direction, orientation",fāng xiàng,这个工作让我有了努力的方向。,This work gives me a direction to work hard toward.,4,10,1,6,,
981,优秀,"excellent, outstanding",yōu xiù,你有一个漂亮的女儿，还那么优秀。,You have a beautiful daughter and she's so outstanding.,4,10,2,7,,
982,硕士,holder of master’s degree,shuò shì,硕士论文,a magisterial thesis,4,10,2,8,,
983,翻译,"translator, interpreter",fān yì,韩语翻译。,Korean Interpreter; Korean Translator,4,10,2,9,,
984,确实,"truly, indeed",què shí,确实与众不同,truly out of the ordinary,4,10,2,10,,
985,兴奋,excited,xīng fèn,女儿兴奋地拉着我们去商场。,My daughter took us to the mall with excitement.,4,10,2,11,,
986,拉,"to pull, to drag",lā,他用力拉了拉绳子。,He gave a strong pull at the rope.,4,10,2,12,,
987,建议,suggestion,jiàn yì,我还没想好，正想听听你的建议。,I haven't thought about it yet. I just want to hear your advice.,4,10,3,13,,
988,职业,"occupation, profession",zhí yè,坐着工作的职业,a sedentary occupation,4,10,3,14,,
989,关键,"key (as in key word, key issue)",guān jiàn,找工作时，兴趣是关键。,Interest is the key to job hunting.,4,10,3,15,,
990,将来,future,jiāng lái,祝你将来幸福！,Here's to your future happiness!,4,10,3,16,,
991,发展,"to develop, to promote",fā zhǎn,收入和将来的发展，哪个更重要？,"Which is more important, income or future development?",4,10,3,17,,
992,躺,to lie (on one’s back),tǎng,他不喜欢长时间躺着或坐着。,He did not like to either lie or sit long.,4,10,3,18,,
993,困,sleepy,kùn,我困了。,I feel very sleepy.,4,10,3,19,,
994,经济,economy,jīng jì,发展经济，保障供给。,Develop the economy and ensure supplies.,4,10,4,20,,
995,条件,condition,tiáo jiàn,我家里的条件很不错。,The my family is in a very good [economic] situation.,4,10,4,21,,
996,富,"rich, wealthy",fù,她一旦变富就把老朋友都撇了。,"As soon as she became rich, she cast aside all her old friends.",4,10,4,22,,
997,穷,"poor, impoverished",qióng,他总是抱怨穷。,He's always moaning (on) about how poor he is.,4,10,4,23,,
998,等,"etc, and so on",děng,竞赛项目包括短跑、中长跑等。,"The track events will include dashes, middle distance races, long distance races, etc.",4,10,4,24,,
999,由于,"because, since",yóu yú,事情耽搁下来是由于人手不足。,The delay is due to the shortage of hands.,4,10,4,25,,
1000,比如,"for example, such as",bǐ rú,比如说，初犯可能轻判。,"For example, the first offense of a crime may be a misdemeanor.",4,10,5,26,,
1001,橡皮,"eraser, rubber",xiàng pí,她的橡皮在桌子上。,Her eraser is on her desk.,4,10,5,27,,
1002,糖,"sugar, candy",táng,把糖和面粉和在一起。,Blend the sugar and flour.,4,10,5,28,,
1003,低,low,dī,生活的态度决定了我们幸福感的高低。,The attitude of life determines our happiness.,4,10,5,29,,
1004,答案,"answer, answer key",dá àn,寻求正确答案,grope for the right answer,4,10,5,30,,
1005,流利,fluent,liú lì,她的法语流利得让人羡慕。,she was enviably fluent in French.,4,11,1,1,,
1006,厉害,"awesome, serious",lì hai,在面试过程中我的心跳得厉害。,My heart beat thick in the course of the interview.,4,11,1,2,,
1007,语法,grammar,yǔ fǎ,他英语语法学得很扎实。,He has a good mastery of English grammar.,4,11,1,3,,
1008,准确,"accurate, precise",zhǔn què,很多句子说得不太准确。,I say many sentences inaccurately.,4,11,1,4,,
1009,词语,"word, expression",cí yǔ,这部词典有许多说明词语用法的实例,This dictionary have many examples of how word is used,4,11,1,5,,
1010,连,even (as in “even HE can do it”),lián,他甚至连一支铅笔都削不好。,He can't even sharpen a pencil properly.,4,11,1,6,,
1011,阅读,to read,yuè dú,她广泛阅读以防止脑子迟钝。,She read extensively to keep her mind from rust.,4,11,2,7,,
1012,来得及,"not to late to (do something), there’s still time to (do something)",lái de jí,两个小时应该来得及。,Two hours should be enough time.,4,11,2,8,,
1013,复杂,complicated,fù zá,人体是一个非常复杂的有机体。,The human body is a very complicated organization.,4,11,2,9,,
1014,只好,have no choice but to (do something),zhǐ hǎo,时间来不及，最后只好放弃了。,"It was too late, and I had to give up in the end.",4,11,2,10,,
1015,填空,to fill in a blank,tián kòng,听故事，选词填空。,Listen to the story. Choose a word to fill in each blank.,4,11,2,11,,
1016,猜,to guess,cāi,你能猜出这个谜吗？,Can you guess the answer to this riddle?,4,11,2,12,,
1017,否则,otherwise,fǒu zé,要谦虚，否则就要落后。,"Be modest, otherwise you will lag behind.",4,11,2,13,,
1018,客厅,living room,kè tīng,您要不要现在到客厅去坐？,Would you like to go in the living room now?,4,11,3,14,,
1019,无论,"regardless of, no matter (what, how, when, etc)",wú lùn,无论天气好坏，我都要去。,I shall go regardless of the weather.,4,11,3,15,,
1020,杂志,magazine,zá zhì,我订阅那种杂志已好几年了。,I have subscribed to that magazine for years.,4,11,3,16,,
1021,著名,"famous, well-known",zhù míng,著名登山运动员,a famous mountain climber,4,11,3,17,,
1022,页,page,yè,3分钟读一页书。,Read three minutes a page.,4,11,3,18,,
1023,增加,"to increase, to add",zēng jiā,坚持阅读能增加知识。,Persisting in reading can increase knowledge.,4,11,3,19,,
1024,文章,"essay, article",wén zhāng,他拿起一支笔，从他的文章中划掉了两段。,He took a pen and struck out two paragraphs from his essay.,4,11,4,20,,
1025,之,apostrophe + s (similar to 的),zhī,一日之计在于晨。,An idiom in the morning is worth two in the evening.,4,11,4,21,,
1026,内容,n. content,nèi róng,这本书内容好，并且写得很生动。,This book is sound in content and lively in style.,4,11,4,22,,
1027,然而,"but, however",rán ér,他年纪大了，然而工作很努力。,"He is old, yet he works hard.",4,11,4,23,,
1028,看法,"viewpoint, opinion",kàn fǎ,一个人应该以事实作为自己看法的依据。,A person should base on fact as self viewpoint.,4,11,4,24,,
1029,相同,same,xiāng tóng,他们气质相同。,They were cast in the same mold.,4,11,5,25,,
1030,顺序,"order, sequence",shùn xù,按顺序他是第十个。,He is the tenth in order.,4,11,5,26,,
1031,表示,"to express, to indicate",biǎo shì,不可轻易表示赞成或反对。,Do not lightly express your approval or disapproval.,4,11,5,27,,
1032,养成,"to develop, to form",yǎng chéng,养成把用过的东西放回原位的习惯。,Develop a habit of putting things away when you're done.,4,11,5,28,,
1033,同时,"at the same time, meanwhile",tóng shí,你能同时看电视和做功课吗？,Can you watch television and do your homework at the same time?,4,11,5,29,,
1034,精彩,"wonderful, splendid",jīng cǎi,绝对精彩！,Absolutely wonderful!,4,11,5,30,,
1035,规定,"rule, regulation",guī dìng,这个规定仍然有效。,This rule still holds good.,4,12,1,1,,
1036,死,"rigid, inflexible",sǐ,这是条死规定。,This is a rigid rule.,4,12,1,2,,
1037,可惜,"pitiful, regretful",kě xī,今天下雨了，真可惜。,What a shame that it rained today.,4,12,1,3,,
1038,全部,"all, whole",quán bù,婚礼的全部费用都由我负担。,I will cover all costs of travel for the wedding.,4,12,1,4,,
1039,也许,"maybe, perhaps",yě xǔ,也许这样能找到解决问题的方法。,Maybe we can find a way to solve the problem.,4,12,1,5,,
1040,商量,"to discuss, to consult",shāng liang,我必须和其余的人商量。,I must consult the others.,4,12,1,6,,
1041,并且,and,bìng qiě,二者不是一回事，并且用途也不同。,The two are not the same and don’t serve the same purpose.,4,12,1,7,,
1042,盐,salt,yán,医生建议我减少盐的摄入。,The doctor advised me to reduce the salt uptake.,4,12,2,8,,
1043,勺子,spoon,sháo zi,勺子从桌上滑了下去。,The spoon slipped down from the table.,4,12,2,9,,
1044,保护,to protect,bǎo hù,听说盐有保护衣服颜色的作用。,I heard that salt can protect the color of clothes.,4,12,2,10,,
1045,作用,function,zuò yòng,公共交通起辅助的作用。,Public transportation played a subsidiary role.,4,12,2,11,,
1046,无法,"cannot, unable, same as 不能",wú fǎ,这些问题人类是无法了解的。,"Such matters transcend man's knowledge, ie We cannot know about them.",4,12,2,12,,
1047,节,"measure word for lessons, literally means “section”",jié,听完您的这节课，我终于明白了。,"After listening to your lesson, I finally understand.",4,12,3,13,,
1048,详细,detailed,xiáng xì,他向我详细说明了我的职责。,He detailed my new duties to me.,4,12,3,14,,
1049,解释,to explain,jiě shì,老师没有解释它的语法功能。,The teacher did not explain its grammatical function.,4,12,3,15,,
1050,对于,with regard to,duì yú,我们虽然是好朋友，但对于这件事看法不同。,I do not thought we can see eye to eye in this situation even though We are good friend.,4,12,3,16,,
1051,叶子,leaf,yè zi,树木春天生叶子。,The trees leaf (out) in spring.,4,12,3,17,,
1052,教育,to educate,jiào yù,教育儿童须要耐心。,It takes patience to educate children.,4,12,3,18,,
1053,使用,to use,shǐ yòng,人们都会使用语言。,People all use language.,4,12,4,19,,
1054,语言,language,yǔ yán,别使用这样的粗俗的语言。,Refrain from using such coarse language.,4,12,4,20,,
1055,直接,"direct, straight",zhí jiē,这所大学由省直接管。,This university is directly under the Province.,4,12,4,21,,
1056,引起,"to cause, to lead to",yǐn qǐ,直接说别人的缺点，会引起别人的误会。,Speaking directly about other people's shortcomings will lead to misunderstanding.,4,12,4,22,,
1057,误会,misunderstanding,wù huì,这容易引起误会。,This is liable to cause misunderstanding.,4,12,4,23,,
1058,友好,friendly,yǒu hǎo,我们非常感谢你们友好的劝告。,We are extremely appreciative of your friendly advice.,4,12,4,24,,
1059,事半功倍,to double the result with half the effort,shì bàn gōng bèi,,,4,12,5,25,,Outside HSK
1060,节约,to conserve (resource),jié yuē,节约就是增加收入。,From saving comes having.,4,12,5,26,,
1061,力气,"effort, strength",lì qi,他好像费了很大力气才说出话来。,He spoke as with an effort.,4,12,5,27,,
1062,相反,"opposite, on the contrary",xiāng fǎn,她的意见与我的截然相反。,Her opinions are the direct opposite of mine.,4,12,5,28,,
1063,任务,"task, mission",rèn wu,他们成功地完成了任务。,They have accomplished their mission successfully.,4,12,5,29,,
1064,意见,"opinion, suggestion",yì jiàn,我认为最好先听听你的意见。,I thought I had best have your opinion first.,4,12,5,30,,
1065,仔细,"careful, meticulous",zǐ xì,请仔细考虑一下我们的意见。,Please consider our opinions carefully.,4,12,5,31,,
1066,达到,"to reach, to attain",dá dào,,,4,12,5,32,,HSK 5
1067,无,"have not, same as 没有",wú,我去那里毫无目的。,It's of no use my going there.,4,12,5,,,
1068,京剧,Beijing opera,jīng jù,京剧现在不像以前那么卖座了。,Peking opera doesn't pack the house these days as it used to.,4,13,1,1,,
1069,演员,actor/actress,yǎn yuán,一位崭露头角的青年演员,a coming young actor,4,13,1,2,,
1070,观众,audience,guān zhòng,大厅里回响着观众们的笑声。,The hall echoed with the audience's laughter.,4,13,1,3,,
1071,厚,"deep, profound",hòu,我爷爷对京剧有着深厚的感情。,My grandfather has deep love for Beijing Opera.,4,13,1,4,,
1072,演出,"performance (theatrical, musical)",yǎn chū,他8岁就开始上台演出。,He started performing at the age of 8.,4,13,1,5,,
1073,大概,"roughly, approximately",dà gài,大概的估计,an approximate estimate,4,13,1,6,,
1074,来自,to come from,lái zì,代表们来自世界各地。,The delegates come from different parts of the world.,4,13,2,7,,
1075,遍,once (as in doing something once from start to finish),biàn,那个字你再拼一遍好吗？,Could you spell that word out for me again?,4,13,2,8,,
1076,偶尔,"occasionally, once in a while",ǒu ěr,我最喜欢踢足球，偶尔也打打乒乓球。,"I like playing football best, but occasionally I play table tennis, too.",4,13,2,9,,
1077,吃惊,"to be surprised, to be shocked",chī jīng,这消息使我们大为吃惊。,The news greatly surprised us.,4,13,2,10,,
1078,基础,"basis, foundation",jī chǔ,我以前学过音乐，有些音乐基础。,"I've studied music before, and I have some foundation in music.",4,13,2,11,,
1079,表演,"to act, to perform",biǎo yǎn,歌舞表演。,a song and dance act,4,13,2,12,,
1080,正常,"normal, regular",zhèng cháng,一个身才大于正常人的人。,a person of greater than average size.,4,13,3,13,,
1081,申请,to apply for,shēn qǐng,你必须提前申请护照。,You have to apply for a passport in advance.,4,13,3,14,,
1082,有趣,"interesting, fun",yǒu qù,我觉得爬山有趣又有益健康。,I find it interesting and healthy to go mountain climbing.,4,13,3,15,,
1083,开心,"happy, glad",kāi xīn,你看起来挺开心的，比赛成绩一定不错吧？,You look very happy with yourself! I take it the game went well.,4,13,3,16,,
1084,继续,"to go on, to continue",jì xù,请继续讲故事吧。,Please go on with your story.,4,13,3,17,,
1085,由,by (as in done by someone),yóu,由独裁到民主的突然转变,a sudden transition from autocracy to democracy,4,13,3,18,,
1086,讨论,"to discuss, to talk over",tǎo lùn,现在来讨论付款条件。,Now let's discuss the terms of payment.,4,13,3,19,,
1087,大约,"approximately, about",dà yuē,生产成本大约下降三分之一。,Production costs fell by about one-third.,4,13,4,20,,
1088,餐厅,restaurant,cān tīng,舒适雅致的小餐厅,a cozy little restaurant,4,13,4,21,,
1089,纸袋,paper bag,zhǐdài,垃圾纸袋,garbage-bag paper,4,13,4,22,,
1090,互联网,Internet,hù lián wǎng,互联网对企业内部也是一种革命。,The Net has revolutionised the way companies are run.,4,13,4,23,,
1091,进行,"to conduct, to carry out",jìn xíng,每个部门都要进行科学研究。,Every professional department should conduct scientific research.,4,13,4,24,,
1092,错误,wrong,cuò wù,每个人都承认撒谎是错误的。,Every one will concede that lying is wrong.,4,13,4,25,,
1093,随着,"along with, as",suí zhe,这只狗以往喜欢随着车跑。,The dog used to love running along beside the car.,4,13,5,26,,
1094,十分,"very, extremely",shí fēn,我知道她十分需要我的安慰。,I know she needs my shoulder very much.,4,13,5,27,,
1095,普遍,"universal, common",pǔ biàn,这些现象己经非常普遍了。,These phenomena is very universal.,4,13,5,28,,
1096,部分,part,bù fen,喝茶已成为他们生活中不可缺少的一部分。,Tea drinking has become an indispensable part of their lives.,4,13,5,29,,
1097,稍微,"a little, slightly",shāo wēi,白葡萄酒应稍微冰一下。,White wine should be slightly chilled.,4,13,5,30,,
1098,苦,bitter,kǔ,苦似胆汁,as bitter as gall,4,13,5,31,,
1099,省,province,shěng,她的家在黑龙江省牡丹江市。,"Her home is in Mudanjiang City, Helongjiang Province.",4,13,5,32,,
1100,袋子,"bag, sack",dài zi,袋子系不牢。,The bag won't fasten properly.,4,13,5,,,
1101,出差,to go on a business trip,chū chāi,他下周到上海出两天差。,He will be in Shanghai for two days next week.,4,14,1,1,,
1102,毛巾,towel,máo jīn,她用毛巾把头发包起来。,She wrapped her hair up in a towel.,4,14,1,2,,
1103,牙膏,toothpaste,yá gāo,把牙膏从管里挤出来,extrude toothpaste from the tube,4,14,1,3,,
1104,重,"heavy, weighty",zhòng,他能举很重的份量。,He is able to lift a very heavy weight.,4,14,1,4,,
1105,行,"OK, agreed",xíng,行吗？,Can I have the ok ?,4,14,1,5,,
1106,省,to save cost,shěng,计算机将使我们省下许多时间。,The computer will save us a lot of time.,4,14,1,6,,
1107,污染,to pollute,wū rǎn,吸烟污染空气,Smokers pollute the air.,4,14,1,7,,
1108,卫生间,restroom,wèi shēng jiān,右边是女卫生间。,The washroom on the right is for girls.,4,14,2,8,,
1109,脏,dirty,zāng,我把脏地板好好擦了一下。,I gave the dirty floor a good scour.,4,14,2,9,,
1110,抱歉,sorry,bào qiàn,我非常抱歉！,I am terribly sorry!,4,14,2,10,,
1111,空,empty,kōng,请把空瓶全部退回。,"Please return all empties, ie empty milk bottles.",4,14,2,11,,
1112,盒子,"box, case",hé zi,盒子里有一块肥皂。,There is a bar of soap in the box.,4,14,2,12,,
1113,扔,to throw away,rēng,不要乱扔废纸。,Don't throw waste-paper about.,4,14,2,13,,
1114,以,"with, using",yǐ,他改乘电车而不乘出租汽车以节省钱。,He economized by using trams instead of taking taxis.,4,14,2,14,,
1115,速度,speed,sù dù,他以惊人的速度作出了反应。,He reacted with surprising speed.,4,14,2,15,,
1116,地球,earth,dì qiú,地球又公转又自转。,The earth revolves both round the sun and on its own axis.,4,14,3,16,,
1117,既然,"since (as in “since that is the case, then…”)",jì rán,既然天气这么热，我们去游泳吧。,"Since it is so hot, let's go swimming.",4,14,3,17,,
