Id,Traditional,Simplified,English,HSK,HSK 5（二）词语搭配,Img,Txt,Pinyin,Explanation,Example,Example Explanation,Translation,Book,Lesson,Dialog,NW,PN,OofC,Alternative,Grammar Reference,Song Lyrics,Song YouTube,Song Pinyin,Song Translation,Example Pinyin,Length,Character Phrase,Instagram Image Created
1252,迷路,迷路,to lose one's way,4,,FALSE,FALSE,mí lù,迷路，就是 to lose one's way。,你怎么迷路的？,也就是问，你是怎么迷路的？,How Did You Lose Your Way?,4,18,4,24,,,,,,,,,nǐ zěnme mílù de,2,,
1253,地址,地址,address,4,,FALSE,FALSE,dì zhǐ,地址，就是 address。,我忘了地址，得查通讯录。,也就是说，我忘了地址，所以我必须看一下我的地址簿。,I forgot the address so I must look in my address book.,4,18,4,25,,,,,,,,,wǒ wàng le dìzhǐ dé chá tōngxùnlù,2,,
1254,地點,地点,"place, site",4,,FALSE,FALSE,dì diǎn,地点，就是地点、地点。,请通知大家下周开会的时间和地点。,也就是说，请将下周会议的时间和地点通知我们。,Please inform us of the time and place of the meeting next week.,4,18,4,26,,,,,,,,,qǐng tōngzhī dàjiā xiàzhōu kāihuì de shíjiān hé dìdiǎn,2,,Yes
1255,世紀,世纪,century,4,,FALSE,FALSE,shì jì,世纪，就是 century。,本世纪初，有许多新发明出现。,也就是说，本世纪初带来了许多新发明。,The beginning of the century brought many new inventions.,4,18,5,27,,,,,,,,,běn shìjì chū yǒu xǔduō xīn fāmíng chūxiàn,2,,
1256,郵局,邮局,post office,4,,FALSE,FALSE,yóu jú,邮局，就是 post office。,他到邮局寄信去了,也就是说，他去邮局寄了一封信。,He went to the post office to mail a letter.,4,18,5,28,,,,,,,,,tā dào yóujú jì xìn qù le,2,,
1257,收,收,to receive,4,,FALSE,FALSE,shōu,收，就是接收。,学校今年又收了一批研究生。,也就是说，该学院今年又招收了一批研究生。,The college has enrolled another group of research students this year.,4,18,5,29,,,,,,,,,xuéxiào jīnnián yòu shōu le yī pī yánjiūshēng,1,,
1258,信封,信封,envelope,4,,FALSE,FALSE,xìn fēng,信封，就是 envelope。,她在信封上写下自己的地址。,也就是说，她把信封写好了。,She addressed the envelope to herself.,4,18,5,30,,,,,,,,,tā zài xìnfēng shàng xiěxià zìjǐ de dìzhǐ,2,,
1259,網站,网站,website,4,,FALSE,FALSE,wǎng zhàn,网站，就是 website。,网站翻译。,,Website translation,4,18,5,31,,,,,,,,,wǎngzhàn fānyì,2,,
1260,信息,信息,"news, information",4,,FALSE,FALSE,xìn xī,信息，就是新闻、信息。,任何信息都可以第一时间获得。,也就是说，任何信息都可以尽早获得。,Any information can be obtained at the earliest time.,4,18,5,32,,,,,,,,,rènhé xìnxī dōu kěyǐ dìyīshíjiān huòdé,2,,Yes
1261,學期,学期,"term, semester",4,,FALSE,FALSE,xué qī,学期，就是 term。,他的学期研究报告不及格。,也就是说，他在学期论文上得了一个不及格的分数。,He received a failing grade on the term paper.,4,19,1,1,,,,,,,,,tā de xuéqī yánjiūbàogào bùjígé,2,,
1262,出生,出生,to be born,4,,FALSE,FALSE,chū shēng,出生，就是即将出生。,这个孩子的出生日期是什么时候？,也就是问，孩子的生日是什么时候？,When is the child's birthday?,4,19,1,2,,,,,,,,,zhège háizi de chūshēngrìqī shì shénmeshíhou,2,,Yes
1263,性別,性别,gender,4,,FALSE,FALSE,xìng bié,性别，就是 gender。,性别歧视是美国社会不平等的一个重要方面。,Gender discrimination is an important aspect of social inequality in the United States.,Gender discrimination is an important aspect of social inequality in the United States.,4,19,1,3,,,,,,,,,xìngbiéqíshì shì Měiguó shèhuì bùpíngděng de yī gè zhòngyào fāngmiàn,2,,
1264,道歉,道歉,to apologize,4,,FALSE,FALSE,dào qiàn,道歉，就是 to apologize。,没关系，你不用向我道歉。,也就是说，没关系。你不必向我道歉。,It doesn't matter. You don't have to apologize to me.,4,19,1,4,,,,,,,,,méiguānxi nǐ bùyòng xiàng wǒ dàoqiàn,2,,Yes
1265,打印,打印,to print out,4,,FALSE,FALSE,dǎ yìn,打印，就是打印输出。,打印机没纸了。,也就是说，打印机的纸张用完了。,The printer has run out of paper .,4,19,1,5,,,,,,,,,dǎyìnjī méi zhǐ le,2,,
1266,復印,复印,"to photocopy, to xerox",4,,FALSE,FALSE,fù yìn,复印，就是 to photocopy。,这台复印机不正常工作了，你检查一下好吗？,也就是说，也就是问，这台复印机工作不正常。你能查出问题吗？,This photocopy machine is not working properly. Could you check out the problem?,4,19,1,6,,,,,,,,,zhè tái fùyìnjī bùzhèngcháng gōngzuò le nǐ jiǎnchá yīxià hǎo ma,2,,
1267,餃子,饺子,"jiaozi, dumpling",4,,TRUE,TRUE,jiǎo zi,饺子，就是 dumpling。,除夕吃饺子是中国人的一种风俗习惯。,也就是说，过年吃饺子是中国的习俗。,It is a Chinese custom to eat Jiaozi on New Year's Eve.,4,19,2,7,,,,,,,,,Chúxī chī jiǎozi shì Zhōngguórén de yīzhǒng fēngsú xíguàn,2,,
1268,刀,刀,knife,4,,FALSE,FALSE,dāo,刀，就是 knife。,庸医杀人不用刀。,也就是说，江湖骗子不会用刀杀人。,A charlatan doesn't murder with a knife.,4,19,2,8,,,,,,,,,yōngyī shārén bùyòng dāo,1,,
1269,破,破,"broken, tom",4,,FALSE,FALSE,pò,破，就是坏了，汤姆。,哎呀！窗子破了！,意思是说，唉！窗户坏了！,Alas ! The window is broken !,4,19,2,9,,,,,,,,,āiyā chuāngzi pò le,1,,
1270,脫,脱,to take off (clothes),4,,FALSE,FALSE,tuō,脱，就是脱掉。,脱掉你的湿衣服，穿上干的。,也就是说，脱掉湿衣服，穿上干衣服。,Take off your wet clothes and put on some dry ones.,4,19,2,10,,,,,,,,,tuōdiào nǐ de shī yīfu chuānshang gàn de,1,,
1271,理髮,理发,to get a haircut,4,,TRUE,FALSE,lǐ fà,理发，就是去剪头发。,那家理发店附近有个餐厅。,也就是说，理发店附近有一家餐馆。,There is a restaurant near the barber's.,4,19,2,11,,,,,,,,,nà jiā lǐfàdiàn fùjìn yǒu gè cāntīng,2,,Yes
1272,包子,包子,steamed stuffed bun,4,,TRUE,TRUE,bāo zi,包子，就是 steamed bun。,有时我也吃包子。,"Sometimes I eat baozi, too.","Sometimes I eat baozi, too.",4,19,2,12,,,,,,,,,yǒushí wǒ yě chī bāozi,2,,
1273,零錢,零钱,spare change,4,,FALSE,FALSE,líng qián,零钱，就是备用零钱。,我没有零钱。,也就是说，我没有改变。,I have no change about me.,4,19,2,13,,,,,,,,,wǒ méiyǒu língqián,2,,
1274,打招呼,打招呼,"to greet, to say hello",4,,FALSE,FALSE,dǎ zhāo hu,打招呼，就是 to greet。,他向她热诚地打招呼。,也就是说，他向她打了最诚挚的招呼。,He greeted her most cordially.,4,19,3,14,,,,,,,,,tā xiàng tā rèchéng dì dǎzhāohu,3,,
1275,戴,戴,to wear (accessories),4,,FALSE,FALSE,dài,戴，就是配戴。,人们戴眼镜以改善视力。,也就是说，人们戴眼镜来提高视力。,People wear glasses to improve their vision.,4,19,3,15,,,,,,,,,rénmen dài yǎnjìng yǐ gǎishàn shìlì,1,,
1276,眼鏡,眼镜,glasses,4,,FALSE,FALSE,yǎn jìng,眼镜，就是玻璃杯。,我的眼镜老是模糊不清。,也就是说，我的眼镜老是混浊。,My glasses kept clouding up.,4,19,3,16,,,,,,,,,wǒ de yǎnjìng lǎoshi móhubùqīng,2,,
1277,舞蹈,舞蹈,dance,6,,FALSE,FALSE,wǔ dǎo,,,,,4,19,3,17,,HSK 6,,,,,,,,2,,
1278,國籍,国籍,"nationality, citizenship",4,,FALSE,FALSE,guó jí,国籍，就是国籍、国籍。,她兼有双重国籍。,也就是“她有双重国籍。”,"She has dual nationality, ie is a citizen of two different countries.",4,19,3,18,,,,,,,,,tā jiānyǒu shuāngchóngguójí,2,,
1279,抬,抬,"to lift, to raise",4,,FALSE,FALSE,tái,抬，就是提升。,这箱子太重，我抬不起来。,也就是说，这个箱子太重了，mc抬不动。,This box is too heavy for mc to lift.,4,19,3,19,,,,,,,,,zhè xiāngzi tài zhòng wǒ tái bù qilai,1,,
1280,胳膊,胳膊,arm,4,,FALSE,FALSE,gē bo,胳膊，就是臂。,他从马上跌落摔坏了胳膊。,也就是说，他从马上摔下来摔断了胳膊。,The fall from his horse broke his arm.,4,19,3,20,,,,,,,,,tā cóng mǎshàng diēluò shuāi huàile gēbo,2,,
1281,轉,转,"to turn, to shift",4,,FALSE,FALSE,zhuàn,转，就是转动，移动。,在红绿灯处向右转。,也就是说，在红绿灯处右拐。,Turn right at the traffic lights.,4,19,3,21,,,,,,,,,zài hónglǜdēng chǔ xiàng yòuzhuǎn,1,,
1282,租,租,"to rent, to lease",4,,FALSE,FALSE,zū,租，就是出租赁。,我的房子租不出去。,也就是“我找不到人出租我的房子。”,"I can't get a let for my house, ie find anyone to rent it from me.",4,19,4,22,,,,,,,,,wǒ de fángzizū bù chūqù,1,,
1283,吵,吵,noisy,5,,FALSE,FALSE,chǎo,,,,,4,19,4,23,,HSK 5,,,,,,,,1,,
1284,廚房,厨房,kitchen,4,,FALSE,FALSE,chú fáng,厨房，就是 kitchen。,厨房里散发着很浓的鱼腥气。,也就是说，厨房里有股浓烈的鱼味。,The kitchen smelled strongly of fish.,4,19,4,24,,,,,,,,,chúfáng lǐ sànfā zhe hěn nóng de yú xīng qì,2,,
1285,房東,房东,landlord/landlady,4,,FALSE,FALSE,fáng dōng,房东，就是房东/女房东。,他不欠房东的账。,也就是说，他与他的房东保持一致。,He was square with his landlord.,4,19,4,25,,,,,,,,,tā bù qiàn fángdōng de zhàng,2,,
1286,佔線,占线,(telephone line) busy,4,,FALSE,FALSE,zhàn xiàn,占线，就是忙。,昨晚我想给你打电话，但一直占线。,也就是说，我昨晚想给你打电话，但电话占线。,"I tried to phone you last night, but the line was busy.",4,19,4,26,,,,,,,,,zuówǎn wǒ xiǎng gěi nǐ dǎdiànhuà dàn yīzhí zhànxiàn,2,,
1287,功夫,功夫,kungfu,4,,FALSE,FALSE,gōng fu,功夫，就是 kungfu。,我打算明年参加一个功夫联赛。,也就是说，我打算明年参加一个武术比赛。,I intend to participate in a kungfu tournament next year.,4,19,5,27,,,,,,,,,wǒ dǎsuàn míngnián cānjiā yī gè gōngfu liánsài,2,,
1288,乒乓球,乒乓球,"table tennis, ping-pong",4,,FALSE,FALSE,pīng pāng qiú,乒乓球，就是 table tennis。,这两个孩子在打乒乓球。,也就是说，这两个男孩在打乒乓球。,The two boys are playing ping-pong.,4,19,5,28,,,,,,,,,zhè liǎng gè háizi zài dǎ pīngpāngqiú,3,,
1289,羽毛球,羽毛球,badminton,4,,FALSE,FALSE,yǔ máo qiú,羽毛球，就是 badminton。,中国羽毛球队。,,Chinese Badminton Team,4,19,5,29,,,,,,,,,Zhōngguó yǔmáo qiúduì,3,,
1290,場,场,"used for sports or recreational events, etc.",4,,FALSE,FALSE,chǎng,场，就是用于体育或娱乐活动等。,很多人周末会到体育馆打几场球。,也就是说，许多人周末去健身房玩几场游戏。,Many people go to the gym to play a few games on weekends.,4,19,5,30,,,,HSK4官方语法8,像一场电影的完结篇,https://youtu.be/TCHIjWQQpc0?t=72,xiàng yī chǎng diànyǐng de wánjié piān ,Like the end of a movie,hěn duō rén zhōumò huì dào tǐyùguǎn dǎ jǐ chǎng qiú,1,,Yes
1291,禁止,禁止,"to prohibit, to forbid",4,,FALSE,FALSE,jìn zhǐ,禁止，就是 to prohibit。,禁止在此拍照。,也就是说，这里禁止拍照。,Photo - take is prohibit here .,4,19,5,31,,,,,,,,,jìnzhǐ zàicǐ pāizhào,2,,
1292,座位,座位,seat,4,,FALSE,FALSE,zuò wèi,座位，就是 seat。,前排座位票价每张三美元。,也就是说，前排座位的费用是3美元。,The charge for a front-row seat is $ 3.,4,19,5,32,,,,,,,,,qián pái zuòwèi piàojià měi Zhāng Sān Měiyuán,2,,
1293,加油站,加油站,gas station,4,,FALSE,FALSE,jiā yóu zhàn,加油站，就是 gas station。,附近我在哪儿能找到加油站？,也就是问，附近哪有加油站？,Where can I find a gas station nearby?,4,20,1,1,,,,,,,,,fùjìn wǒ zàinǎr néng zhǎodào jiāyóuzhàn,3,,
1294,航班,航班,scheduled flight,4,,FALSE,FALSE,háng bān,航班，就是预定航班。,定期航班服务,也就是“定期航班”。,scheduled air service,4,20,1,2,,,,,,,,,dìngqī hángbān fúwù,2,,
1295,推遲,推迟,"to postpone, to delay",4,,FALSE,FALSE,tuī chí,推迟，就是 to postpone。,他决定推迟讲座。,也就是说，他决定推迟讲课。,He decided to postpone delivering a lecture.,4,20,1,3,,,,,,,,,tā juédìng tuīchí jiǎngzuò,2,,
1296,高速公路,高速公路,expressway,4,,FALSE,FALSE,gāo sù gōng lù,高速公路，就是 expressway。,高速公路纵贯全境,也就是说，这条高速公路横跨全境。,The expressway is Built across the whole territory.,4,20,1,4,,,,,,,,,gāosùgōnglù zòngguàn quán jìng,4,,
1297,登機牌,登机牌,boarding pass,4,,FALSE,FALSE,dēng jī pái,登机牌，就是 boarding pass。,这是您的登机牌。,Here is your boarding card.,Here is your boarding card.,4,20,1,5,,,,,,,,,zhè shì nín de dēngjīpái,3,,
1298,首都,首都,capital (of a country),4,,FALSE,FALSE,shǒu dū,首都，就是 capital。,首都位于河畔。,也就是说，首都位于河边。,The capital is located on the river.,4,20,1,6,,,,,,,,,shǒudū wèiyú hépàn,2,,
1299,長江,长江,Yangtze River,4,,FALSE,FALSE,cháng jiāng,长江，就是 Yangtze River。,长江流入黄海。,The Yangtze discharges itself into the Yellow Sea.,The Yangtze discharges itself into the Yellow Sea.,4,20,1,,1,,,,千折百回过长江,https://youtu.be/igWCjX9BWiI?t=31,,,Cháng Jiāng liúrù Huáng Hǎi,2,,
1300,旅行,旅行,"to travel, to tour",4,,FALSE,FALSE,lǚ xíng,旅行，就是旅游。,女儿总是说想去旅行。,也就是说，我女儿总是说她想去旅行。,My daughter always says she wants to travel.,4,20,2,7,,,,,,,,,nǚ'ér zǒngshì shuō xiǎng qù lǚxíng,2,,Yes
1301,怪,怪,"rather, quite",outside,,FALSE,FALSE,guài,,,,,4,20,2,8,,Outside HSK,,,,,,,,1,,
1302,可憐,可怜,"pitiable, poor",4,,FALSE,FALSE,kě lián,可怜，就是 pitiable。,那可怜的人被暴徒们毒打了一顿。,也就是说，这个可怜的人受到了暴徒的野蛮殴打。,The poor man received a savage beating from the thugs.,4,20,2,9,,,,,,,,,nà kělián de rén bèi bàotú men dúdǎ le yī dùn,2,,
1303,對面,对面,"opposite, across",4,,FALSE,FALSE,duì miàn,对面，就是 opposite。,中午我们去对面的饭馆儿吃烤鸭吧。,也就是说，中午我们去对面的餐馆吃烤鸭吧。,Let's go to the opposite restaurant for a roast duck at noon.,4,20,2,10,,,,,,,,,zhōngwǔ wǒmen qù duìmiàn de fànguǎnr chī kǎoyā ba,2,,Yes
1304,烤鴨,烤鸭,roast duck,4,,FALSE,FALSE,kǎo yā,烤鸭，就是 roast duck。,烤鸭卖完了。,也就是说，烤鸭现在用完了。,Roast duck is used up now.,4,20,2,11,,,,,,,,,kǎoyā mài wánle,2,,
1305,祝賀,祝贺,to congratulate,4,,FALSE,FALSE,zhù hè,祝贺，就是 to congratulate。,衷心地祝贺某人,也就是说，祝贺某人。衷心地,congratulate sb. very heartily,4,20,2,12,,,,,,,,,zhōngxīn dì zhùhè mǒurén,2,,
1306,合格,合格,"qualified, up to standard",4,,FALSE,FALSE,hé gé,合格，就是 qualified。,祝贺她考试成绩合格。,也就是说，祝贺她通过考试。,Congratulations on her passing the exam.,4,20,2,13,,,,,,,,,zhùhè tā kǎoshì chéngjì hégé,2,,Yes
1307,乾杯,干杯,to drink a toast,4,,FALSE,FALSE,gān bēi,干杯，就是祝酒。,让我们干杯吧！,意思是说，让我们把眼镜倒空！,Let’s empty our glasses !,4,20,3,14,,,,,,,,,ràng wǒmen gānbēi ba,2,,
1308,民族,民族,"nationality, ethnic group",4,,FALSE,FALSE,mín zú,民族，就是国籍、民族。,你的血型与民族是有联系的。,也就是说，你的血型和国籍有关系。,There is a relationship between your blood type and your nationality.,4,20,3,15,,,,,悠悠的唱着最炫的民族风,https://youtu.be/Ynypvs5s75Y?t=64,yōuyōu de chàng zhe zuì xuàn de mínzú fēng ,Singing the most dazzling national style leisurely,nǐ de xuèxíng yǔ mínzú shì yǒuliánxì de,2,,
1309,打扮,打扮,"to dress up, to deck out",4,,FALSE,FALSE,dǎ ban,打扮，就是盛装打扮。,有些人不懂怎样穿着打扮。,也就是说，有些人不知道怎么穿衣服。,Some people don't know how to dress.,4,20,3,16,,,,,,,,,yǒuxiērén bù dǒng zěnyàng chuānzhuódǎbàn,2,,
1310,笑話,笑话,joke,4,,FALSE,FALSE,xiào huà,笑话，就是 joke。,那是个令人捧腹的笑话。,也就是说，那是一个有趣的笑话。,That is a hilarious joke.,4,20,3,17,,,,,,,,,nàshi gè lìngrén pěngfù de xiàohuà,2,,
1311,存,存,"to store, to keep",4,,FALSE,FALSE,cún,存，就是储存，保存。,有一次我把存包的钥匙丢了。,也就是说，有一次我把行李寄存处的钥匙丢了。,Once I lost the key to my baggage deposit.,4,20,3,18,,,,,,,,,yǒuyīcì wǒ bǎ cún bāo de yàoshi diū le,1,,Yes
1312,鑰匙,钥匙,key,4,,FALSE,FALSE,yào shi,钥匙，就是 key。,把钥匙插进锁孔,也就是“在锁中插入钥匙”。,to insert a key in the lock,4,20,3,19,,,,,,,,,bǎ yàoshi chājìn suǒkǒng,2,,
1313,究竟,究竟,(used in questions for emphasis) exactly,4,,FALSE,FALSE,jiū jìng,究竟，就是。,查出究竟发生了什么事,也就是“确定到底发生了什么”。,determine exactly what happened,4,20,3,20,,,,4.20.3,,,,,cháchū jiūjìng fāshēng le shénmeshì,2,,
1314,棵,棵,measure word for plants,4,,FALSE,FALSE,kē,棵，就是植物测量词。,湖边有棵桃树。,也就是说，湖边有一棵桃树。,There is a peach tree in the lakeside.,4,20,4,21,,,,HSK4官方语法6,,,,,húbiān yǒu kē táoshù,1,,
1315,湯,汤,soup,4,,FALSE,FALSE,tāng,汤，就是 soup。,这种白菜汤味道好。,也就是说，这道卷心菜汤很好吃。,This cabbage soup is tasty.,4,20,4,22,,,,,,,,,zhèzhǒng báicài tāng wèidao hǎo,1,,
1316,對話,对话,to have a dialogue,4,,FALSE,FALSE,duì huà,对话，就是进行对话。,她述说了她同马丁之间关于钱的对话。,也就是说，她报告了她和马丁关于钱的谈话。,She reported her conversation with Martin about money.,4,20,4,23,,,,,,,,,tā shùshuō le tā tóng Mǎdīng zhījiān guānyú qián de duìhuà,2,,
1317,普通話,普通话,Mandarin Chinese,4,,FALSE,FALSE,pǔ tōng huà,普通话，就是 Mandarin Chinese。,一进学校，你就要讲普通话,也就是说，你进我们学校时，必须讲普通话。,"When you come into our school, you must speak Putonghua.",4,20,4,24,,,,,,,,,yī jìn xuéxiào nǐ jiùyào jiǎng pǔtōnghuà,3,,
1318,小吃,小吃,small and cheap dishes,4,,FALSE,FALSE,xiǎo chī,小吃，就是又小又便宜的菜。,潮州风味小吃是本餐厅的一大特色。,也就是说，曹州风味小吃是我们餐厅的特色菜。,Caozhou-flavor snacks are a speciality of our dining hall.,4,20,5,25,,,,,,,,,Cháozhōu fēngwèi xiǎochī shì běn cāntīng de yī dà tèsè,2,,
1319,收拾,收拾,"to put in order, to pack",4,,FALSE,FALSE,shōu shi,收拾，就是整理，包装。,工作结束后请把工具收拾好。,也就是问，下班后把工具收起来，好吗？,"Put away the tools after work, will you?",4,20,5,26,,,,,,,,,gōngzuò jiéshù hòu qǐng bǎ gōngjù shōushi hǎo,2,,
1320,出發,出发,"to depart, to set off",4,,TRUE,FALSE,chū fā,出发，就是 to depart。,她向目的地出发。,也就是说，她朝目的地出发。,She started out toward the destination.,4,20,5,27,,,,,,,,,tā xiàng mùdìdì chūfā,2,,Yes
1321,辣,辣,"hot, spicy",4,,FALSE,FALSE,là,辣，就是辣的，辛辣的。,太辣了。,也就是说，天太热了。,It's too hot.,4,20,5,28,,,,,,,,,tài là le,1,,
1322,香,香,"fragrant, scented",4,,FALSE,FALSE,xiāng,香，就是芳香，有香味。,脆香可口,也就是“清脆、芳香、可口”。,"Crisp, fragrant and pleasant to taste",4,20,5,29,,,,,,,,,cuì xiāng kěkǒu,1,,
1323,酸,酸,"sour, tart",4,,FALSE,FALSE,suān,酸，就是酸的。,这苹果是酸的。,也就是说，苹果的味道很酸。,The apple is sour to the taste.,4,20,5,30,,,,,,,,,zhè píngguǒ shì suān de,1,,
1324,勺子,勺子,spoon,4,,TRUE,TRUE,sháo zi,勺子，就是 spoon。,溶化在勺子中的银凝固了。,也就是说，本来溶化的银现在变成固体了。,The silver which was molten in the ladle has solidified.,4,补充,,,,,,,,,,,rónghuà zài sháozi zhòngdì yín nínggù le,2,,
1325,受到,受到,to suffer,4,,FALSE,FALSE,shòu dào,受到，就是受苦。,他受到合同条款的约束。,也就是说，他受合同条款的约束。,He is bound by the terms of the contract.,4,补充,,,,,,,,,,,tā shòudào hétong tiáokuǎn de yuēshù,2,,
1326,細節,细节,detail,5,1,FALSE,FALSE,xì jié,细节，就是 detail。,直到我了解更多细节我才能决定。,也就是说，直到我知道更多的细节，我才能最终解决。,I can't settle finally till I know more details.,5,1,1,1,,,,,,,,,zhídào wǒ liǎojiě gèng duō xìjié wǒ cáinéng juédìng,2,,
1327,電台,电台,radio station,5,1,FALSE,FALSE,diàn tái,电台，就是无线电台。,造反者占领了电台。,也就是说，叛军占领了电台。,The rebels seized the radio station.,5,1,1,2,,,,,,,,,zàofǎn zhě zhànlǐng le diàntái,2,,
1328,恩愛,恩爱,(of husband and wife) loving,outside,,FALSE,FALSE,ēn ài,,,,,5,1,1,3,,Outside HSK,,,,,,,,2,,
1329,對比,对比,"to compare, to contrast",5,1,FALSE,FALSE,duì bǐ,对比，就是 to compare。,为说明我的观点，我做了对比分析。,也就是说，为了说明我的观点，我做了比较分析。,"To illustrate my point of view, I made a comparative analysis.",5,1,1,4,,,,,,,,,wéi shuōmíng wǒ de guāndiǎn wǒ zuò le duìbǐ fēnxī,2,,Yes
1330,入圍,入围,to be shortlisted,outside,,FALSE,FALSE,rù wéi,,,,,5,1,1,5,,Outside HSK,,,,,,,,2,,
1331,評委,评委,"judge, member of a judging panel",outside,,FALSE,FALSE,píng wěi,,,,,5,1,1,6,,Outside HSK,,,,,,,,2,,
1332,如何,如何,how,5,,FALSE,FALSE,rú hé,如何，就是怎样。,你将如何重新设计日历呢？,也就是问，你将如何重新设计它？,How would you redesign it?,5,1,1,7,,,,,,,,,nǐ jiāng rúhé chóngxīn shèjì rìlì ne,2,,
1333,癱瘓,瘫痪,to be paralyzed,6,,FALSE,FALSE,tān huàn,,,,,5,1,1,8,,HSK 6,,,,,,,,2,,
1334,離婚,离婚,to divorce,5,,FALSE,FALSE,lí hūn,离婚，就是 to divorce。,离婚案不断增多。,也就是说，离婚率在上升。,Divorce is on the increase.,5,1,1,9,,,,,,,,,líhūn àn bùduàn zēngduō,2,,
1335,自殺,自杀,to commit suicide,5,,FALSE,FALSE,zì shā,自杀，就是 to commit suicide。,当时她非常心灰意冷，差点自杀。,也就是说，她很沮丧，差点自杀。,She was so frustrated that she almost committed suicide.,5,1,1,10,,,,,,,,,dāngshí tā fēicháng xīnhuīyìlěng chàdiǎn zìshā,2,,Yes
1336,抱怨,抱怨,to complain,5,1,FALSE,FALSE,bào yuàn,抱怨，就是 to complain。,抱怨工作过多,也就是“抱怨工作过度”。,complain of overwork,5,1,1,11,,,,,,,,,bàoyuàn gōngzuò guòduō,2,,
1337,愛護,爱护,to take good care of,5,1,FALSE,FALSE,ài hù,爱护，就是好好照顾。,如果你不注意爱护，这机器会坏的。,也就是说，如果你不小心，机器会坏的。,The machine will break down if you don't take care of it.,5,1,1,12,,,,,,,,,rúguǒ nǐ bùzhùyì àihù zhè jīqì huì huài de,2,,
1338,婚姻,婚姻,marriage,5,,FALSE,FALSE,hūn yīn,婚姻，就是结婚。,他们的婚姻关系每况愈下。,也就是说，他们的婚姻处于低谷。,Their marriage is on the down grade.,5,1,1,13,,,,,,,,,tāmen de hūnyīn guānxi měikuàngyùxià,2,,
1339,吵架,吵架,to quarrel,5,,FALSE,FALSE,chǎo jià,吵架，就是 to quarrel。,他和每个人都吵架。,也就是说，他和大家吵架。,He quarreled with everyone.,5,1,1,14,,,,,,,,,tā hé měigerén dōu chǎojià,2,,Yes
1340,相敬如賓,相敬如宾,to respect each other (as if to guests),outside,,FALSE,FALSE,xiāng jìng rú bīn,,,,,5,1,1,15,,Outside HSK,,,,,,,,4,,
1341,暗暗,暗暗,"secretly, to oneself",5,,FALSE,FALSE,àn àn,暗暗，就是暗地里，对自己。,他暗暗地对他的女朋友厌倦了。,也就是说，他暗地里厌倦了他的女朋友。,He was secretly tired of his girlfriend.,5,1,1,16,,,,,,,,,tā àn'àn dì duì tā de nǚpéngyou yànjuàn le,2,,
1342,輪,轮,to take turns,5,,FALSE,FALSE,lún,轮，就是轮流。,现在轮到你洗碗了。,Now it's your turn to wash the dishes.,Now it's your turn to wash the dishes.,5,1,1,17,,,,,,,,,xiànzài lúndào nǐ xǐwǎn le,1,,Yes
1343,不耐煩,不耐烦,impatient,5,,TRUE,TRUE,bù nài fán,不耐烦，就是没有耐心。,我有点不耐烦了。,也就是说，我等不急了。,I was a bit impatient.,5,1,1,18,,,,,,,,,wǒ yǒudiǎn bùnàifán le,3,,
1344,靠,靠,to lean against,5,,FALSE,FALSE,kào,靠，就是倚靠。,靠在桌子上。,,lean on the desk,5,1,1,19,,,,,,,,,kào zài zhuōzi shàng,1,,
1345,肩膀,肩膀,shoulder,5,,FALSE,FALSE,jiān bǎng,肩膀，就是肩。,他轻轻地拍一下他弟弟的肩膀。,也就是说，他轻拍弟弟的肩膀。,He gave his younger brother a pat on the shoulder.,5,1,1,20,,,,,,,,,tā qīngqīng dì pāi yīxià tā dìdi de jiānbǎng,2,,
1346,喊,喊,"to shout, to call",5,1,FALSE,FALSE,hǎn,喊，就是叫。,不要对着我的耳朵喊！,意思是说，别在我耳边大叫！,Don't shout in my ear!,5,1,1,21,,,,,,,,,bùyào duì zhe wǒ de ěrduo hǎn,1,,
1347,伸,伸,"to stretch, to extend",5,1,FALSE,FALSE,shēn,伸，就是拉伸，延伸。,跳水时手臂迅速前伸。,也就是说，当你跳水时，把你的胳膊伸到你面前。,Throw your arms out in front of you as you dive.,5,1,1,22,,,,,,,,,tiàoshuǐ shí shǒubì xùnsù qián shēn,1,,
1348,手指,手指,finger,5,,FALSE,FALSE,shǒu zhǐ,手指，就是 finger。,医生替凯包扎了手指。,也就是说，医生把凯的手指包扎起来。,The doctor bound up Kay's finger.,5,1,1,23,,,,,,,,,yīshēng tì kǎi bāozā le shǒuzhǐ,2,,
1349,歪歪曲曲,歪歪曲曲,"crooked, askew",outside,,FALSE,FALSE,wāi wāiqū qū,,,,,5,1,1,24,,Outside HSK,,,,,,,,4,,
1350,遞,递,"to hand over, to pass",5,,FALSE,FALSE,dì,递，就是交出，通过。,请把奶油递过来。,也就是说，请把黄油递过来。,"Pass the butter, please.",5,1,1,25,,,,,,,,,qǐng bǎ nǎiyóu dì guòlái,1,,
1351,腦袋,脑袋,head,5,,FALSE,FALSE,nǎo dài,脑袋，就是头。,他摔着了脑袋。,也就是说，他低下头来。,He fell his head.,5,1,1,26,,,,,,,,,tā shuāi zhe le nǎodài,2,,Yes
1352,女士,女士,"lady, madam",5,,FALSE,FALSE,nǚ shì,女士，就是 lady。,他给一位女士让座。,也就是说，他把座位让给一位女士。,He resigned his seat to a lady.,5,1,1,27,,,,,,,,,tā gěi yī wèi nǚshì ràngzuò,2,,
